count,streamType,tag,time,values
46912,6,128,1551458730,65295.0
46912,6,131,1551458730,900.0
46912,6,129,1551458730,44310.0
46912,6,132,1551458730,4096.0
46912,6,126,1551458730,0.0
46912,6,127,1551458730,0.0
46912,6,130,1551458730,349.0
46911,6,128,1551458727,65296.0
46911,6,131,1551458727,0.0
46911,6,129,1551458727,1.0
46911,6,132,1551458727,0.0
46911,6,126,1551458727,0.0
46911,6,127,1551458727,0.0
46911,6,130,1551458727,0.0
46910,6,128,1551458720,65295.0
46910,6,131,1551458720,900.0
46910,6,129,1551458720,45210.0
46910,6,132,1551458720,4096.0
46910,6,126,1551458720,0.0
46910,6,127,1551458720,0.0
46910,6,130,1551458720,349.0
46909,6,128,1551458650,65289.0
46909,6,131,1551458650,0.0
46909,6,129,1551458650,3.0
46909,6,132,1551458650,0.0
46909,6,126,1551458650,0.0
46909,6,127,1551458650,0.0
46909,6,130,1551458650,0.0
46908,6,128,1551458647,65289.0
46908,6,131,1551458647,0.0
46908,6,129,1551458647,2.0
46908,6,132,1551458647,0.0
46908,6,126,1551458647,0.0
46908,6,127,1551458647,0.0
46908,6,130,1551458647,0.0
46907,6,128,1551458638,2059.0
46907,6,131,1551458638,28580.0
46907,6,129,1551458638,48.0
46907,6,132,1551458638,32768.0
46907,6,126,1551458638,67.0
46907,6,127,1551458638,3.0
46907,6,130,1551458638,0.0
46906,6,128,1551458638,65290.0
46906,6,131,1551458638,0.0
46906,6,129,1551458638,1.0
46906,6,132,1551458638,0.0
46906,6,126,1551458638,0.0
46906,6,127,1551458638,0.0
46906,6,130,1551458638,0.0
46905,6,128,1551458638,65285.0
46905,6,131,1551458638,0.0
46905,6,129,1551458638,48.0
46905,6,132,1551458638,0.0
46905,6,126,1551458638,0.0
46905,6,127,1551458638,0.0
46905,6,130,1551458638,0.0
46904,6,128,1551458638,65289.0
46904,6,131,1551458638,0.0
46904,6,129,1551458638,1.0
46904,6,132,1551458638,0.0
46904,6,126,1551458638,0.0
46904,6,127,1551458638,0.0
46904,6,130,1551458638,0.0
46903,6,128,1551458636,65289.0
46903,6,131,1551458636,0.0
46903,6,129,1551458636,0.0
46903,6,132,1551458636,0.0
46903,6,126,1551458636,0.0
46903,6,127,1551458636,0.0
46903,6,130,1551458636,0.0
46902,6,128,1551458617,65289.0
46902,6,131,1551458617,0.0
46902,6,129,1551458617,3.0
46902,6,132,1551458617,0.0
46902,6,126,1551458617,0.0
46902,6,127,1551458617,0.0
46902,6,130,1551458617,0.0
46901,6,128,1551458615,65289.0
46901,6,131,1551458615,0.0
46901,6,129,1551458615,2.0
46901,6,132,1551458615,0.0
46901,6,126,1551458615,0.0
46901,6,127,1551458615,0.0
46901,6,130,1551458615,0.0
46900,6,128,1551458612,65281.0
46900,6,131,1551458612,0.0
46900,6,129,1551458612,0.0
46900,6,132,1551458612,0.0
46900,6,126,1551458612,0.0
46900,6,127,1551458612,0.0
46900,6,130,1551458612,0.0
46899,6,128,1551458612,65288.0
46899,6,131,1551458612,0.0
46899,6,129,1551458612,0.0
46899,6,132,1551458612,0.0
46899,6,126,1551458612,0.0
46899,6,127,1551458612,0.0
46899,6,130,1551458612,0.0
46898,6,128,1551458602,65291.0
46898,6,131,1551458602,0.0
46898,6,129,1551458602,100.0
46898,6,132,1551458602,0.0
46898,6,126,1551458602,0.0
46898,6,127,1551458602,0.0
46898,6,130,1551458602,0.0
46897,6,128,1551458601,65286.0
46897,6,131,1551458601,0.0
46897,6,129,1551458601,1.0
46897,6,132,1551458601,0.0
46897,6,126,1551458601,0.0
46897,6,127,1551458601,0.0
46897,6,130,1551458601,0.0
46896,6,128,1551458601,65289.0
46896,6,131,1551458601,0.0
46896,6,129,1551458601,1.0
46896,6,132,1551458601,0.0
46896,6,126,1551458601,0.0
46896,6,127,1551458601,0.0
46896,6,130,1551458601,0.0
46895,6,128,1551458583,65283.0
46895,6,131,1551458583,0.0
46895,6,129,1551458583,0.0
46895,6,132,1551458583,0.0
46895,6,126,1551458583,0.0
46895,6,127,1551458583,0.0
46895,6,130,1551458583,0.0
46894,6,128,1551458512,65289.0
46894,6,131,1551458512,0.0
46894,6,129,1551458512,3.0
46894,6,132,1551458512,0.0
46894,6,126,1551458512,0.0
46894,6,127,1551458512,0.0
46894,6,130,1551458512,0.0
