count,streamType,tag,time,values
787000,4,14,1551454784,950.0;12.0
787001,4,14,1551454784,1085.0;11.0
787002,4,14,1551454785,1074.0;12.0
787003,4,14,1551454786,1021.0;10.0
787004,4,14,1551454787,1056.0;11.0
787005,4,14,1551454788,949.0;15.0
787006,4,14,1551454789,854.0;12.0
787007,4,14,1551454790,867.0;15.0
787009,4,14,1551454791,856.0;11.0
787008,4,14,1551454791,907.0;11.0
787010,4,14,1551454792,906.0;12.0
787011,4,14,1551454793,895.0;12.0
787012,4,14,1551454794,1053.0;11.0
787013,4,14,1551454795,1084.0;11.0
787014,4,14,1551454796,882.0;15.0
787015,4,14,1551454799,2361.0;15.0
787017,4,14,1551454800,571.0;15.0
787016,4,14,1551454800,1170.0;15.0
787019,4,14,1551454801,723.0;11.0
787018,4,14,1551454801,444.0;10.0
786973,4,14,1551454757,959.0;13.0
786974,4,14,1551454758,937.0;13.0
786975,4,14,1551454759,980.0;15.0
786976,4,14,1551454760,974.0;15.0
786977,4,14,1551454761,983.0;12.0
786978,4,14,1551454762,971.0;10.0
786979,4,14,1551454763,876.0;11.0
786980,4,14,1551454764,967.0;12.0
786981,4,14,1551454765,978.0;12.0
786982,4,14,1551454766,925.0;15.0
786983,4,14,1551454767,903.0;15.0
786984,4,14,1551454768,994.0;15.0
786986,4,14,1551454769,817.0;15.0
786985,4,14,1551454769,882.0;15.0
786987,4,14,1551454770,931.0;15.0
786988,4,14,1551454771,962.0;15.0
786989,4,14,1551454772,935.0;15.0
786990,4,14,1551454773,951.0;15.0
786991,4,14,1551454774,905.0;15.0
786992,4,14,1551454775,894.0;12.0
786993,4,14,1551454776,824.0;13.0
786994,4,14,1551454777,871.0;11.0
786995,4,14,1551454778,1011.0;11.0
786996,4,14,1551454779,993.0;11.0
786997,4,14,1551454780,931.0;10.0
786998,4,14,1551454781,1027.0;11.0
786999,4,14,1551454782,1079.0;12.0
786945,4,14,1551454730,1032.0;9.0
786946,4,14,1551454731,1077.0;12.0
786947,4,14,1551454732,973.0;15.0
786948,4,14,1551454733,881.0;11.0
786949,4,14,1551454734,832.0;11.0
786950,4,14,1551454735,918.0;15.0
786951,4,14,1551454736,1006.0;11.0
786952,4,14,1551454737,920.0;13.0
786953,4,14,1551454738,921.0;11.0
786954,4,14,1551454739,1028.0;12.0
786955,4,14,1551454740,1053.0;13.0
786956,4,14,1551454741,946.0;12.0
786957,4,14,1551454742,937.0;15.0
786958,4,14,1551454743,986.0;13.0
786959,4,14,1551454744,1022.0;12.0
786960,4,14,1551454745,1001.0;12.0
786961,4,14,1551454746,951.0;11.0
786962,4,14,1551454747,977.0;15.0
786963,4,14,1551454748,1048.0;11.0
786964,4,14,1551454749,950.0;15.0
786965,4,14,1551454750,988.0;15.0
786966,4,14,1551454751,970.0;13.0
786967,4,14,1551454752,916.0;12.0
786969,4,14,1551454753,960.0;9.0
786968,4,14,1551454753,978.0;12.0
786970,4,14,1551454754,900.0;10.0
786971,4,14,1551454755,970.0;12.0
786972,4,14,1551454756,939.0;11.0
786917,4,14,1551454704,769.0;10.0
786918,4,14,1551454705,867.0;12.0
786919,4,14,1551454706,898.0;10.0
786921,4,14,1551454707,887.0;10.0
786920,4,14,1551454707,825.0;11.0
786922,4,14,1551454708,929.0;11.0
786923,4,14,1551454709,844.0;11.0
786924,4,14,1551454710,885.0;11.0
786925,4,14,1551454711,900.0;11.0
786926,4,14,1551454712,878.0;11.0
786927,4,14,1551454713,813.0;10.0
786928,4,14,1551454714,866.0;10.0
786930,4,14,1551454715,873.0;15.0
786929,4,14,1551454715,919.0;9.0
786931,4,14,1551454716,903.0;10.0
786932,4,14,1551454717,959.0;9.0
786933,4,14,1551454718,1001.0;12.0
786934,4,14,1551454719,924.0;11.0
786935,4,14,1551454720,1054.0;10.0
786936,4,14,1551454721,1030.0;15.0
786937,4,14,1551454722,924.0;9.0
786938,4,14,1551454723,1005.0;8.0
786939,4,14,1551454724,1029.0;9.0
786940,4,14,1551454725,948.0;11.0
786941,4,14,1551454726,976.0;12.0
786942,4,14,1551454727,1057.0;10.0
786943,4,14,1551454728,1055.0;15.0
786944,4,14,1551454729,949.0;10.0
786886,4,14,1551454679,796.0;11.0
786888,4,14,1551454680,858.0;11.0
786887,4,14,1551454680,838.0;11.0
786889,4,14,1551454681,748.0;12.0
786890,4,14,1551454682,788.0;15.0
786891,4,14,1551454683,817.0;10.0
786893,4,14,1551454684,735.0;11.0
786892,4,14,1551454684,815.0;10.0
786894,4,14,1551454685,741.0;11.0
786895,4,14,1551454686,805.0;11.0
786896,4,14,1551454687,842.0;9.0
786898,4,14,1551454688,830.0;11.0
786897,4,14,1551454688,826.0;10.0
786899,4,14,1551454689,891.0;9.0
786900,4,14,1551454690,842.0;11.0
786901,4,14,1551454691,777.0;11.0
786902,4,14,1551454692,785.0;9.0
786904,4,14,1551454693,816.0;10.0
786903,4,14,1551454693,825.0;11.0
786905,4,14,1551454694,734.0;12.0
786906,4,14,1551454695,843.0;12.0
786907,4,14,1551454696,846.0;11.0
786909,4,14,1551454697,816.0;11.0
786908,4,14,1551454697,903.0;12.0
786910,4,14,1551454698,842.0;15.0
786911,4,14,1551454699,886.0;9.0
786912,4,14,1551454700,821.0;10.0
786913,4,14,1551454701,834.0;11.0
786914,4,14,1551454702,870.0;10.0
786916,4,14,1551454703,736.0;10.0
786915,4,14,1551454703,791.0;10.0
786855,4,14,1551454654,935.0;11.0
786856,4,14,1551454654,942.0;9.0
786858,4,14,1551454655,808.0;11.0
786857,4,14,1551454655,918.0;10.0
786859,4,14,1551454656,806.0;12.0
786860,4,14,1551454657,859.0;11.0
786861,4,14,1551454658,798.0;11.0
786862,4,14,1551454659,782.0;11.0
786864,4,14,1551454660,919.0;11.0
786863,4,14,1551454660,884.0;10.0
786865,4,14,1551454661,821.0;12.0
786866,4,14,1551454662,885.0;10.0
786867,4,14,1551454663,956.0;11.0
786868,4,14,1551454664,923.0;13.0
786869,4,14,1551454665,866.0;12.0
786870,4,14,1551454666,829.0;15.0
786872,4,14,1551454667,813.0;12.0
786871,4,14,1551454667,889.0;12.0
786873,4,14,1551454668,746.0;12.0
786874,4,14,1551454669,797.0;12.0
786875,4,14,1551454670,808.0;12.0
786877,4,14,1551454671,796.0;12.0
786876,4,14,1551454671,838.0;12.0
786878,4,14,1551454672,790.0;12.0
786879,4,14,1551454673,852.0;12.0
786880,4,14,1551454674,869.0;11.0
786882,4,14,1551454675,786.0;10.0
786881,4,14,1551454675,789.0;11.0
786883,4,14,1551454676,823.0;10.0
786884,4,14,1551454677,854.0;12.0
786885,4,14,1551454678,765.0;12.0
786826,4,14,1551454628,835.0;10.0
786827,4,14,1551454628,887.0;12.0
786829,4,14,1551454629,924.0;11.0
786828,4,14,1551454629,888.0;11.0
786830,4,14,1551454630,823.0;12.0
786831,4,14,1551454631,859.0;11.0
786832,4,14,1551454632,870.0;15.0
786833,4,14,1551454633,881.0;12.0
786834,4,14,1551454634,824.0;12.0
786836,4,14,1551454635,871.0;12.0
786835,4,14,1551454635,914.0;11.0
786837,4,14,1551454636,854.0;11.0
786838,4,14,1551454637,940.0;11.0
786839,4,14,1551454638,906.0;15.0
786840,4,14,1551454639,891.0;13.0
786841,4,14,1551454640,894.0;11.0
786842,4,14,1551454641,950.0;11.0
786843,4,14,1551454642,977.0;11.0
786844,4,14,1551454643,894.0;11.0
786845,4,14,1551454644,965.0;12.0
