count,streamType,tag,time,values
806132,2,71,1551454798,0.0
806132,2,13,1551454798,21.86422;100.0
806132,2,6,1551454798,65.0;85.0
806132,2,66,1551454798,1.5686275
806132,2,12,1551454798,18.0;93.0
806132,2,9,1551454798,17.647058
806132,2,25,1551454798,45.09804
806132,2,70,1551454798,1.48;85.0
806132,2,23,1551454798,0.0
806132,2,11,1551454798,58.0;54.0
806132,2,7,1551454798,60.0;0.0
806132,2,21,1551454798,21.0
806132,2,22,1551454798,43.92157
806132,2,118,1551454798,32.88
806132,2,24,1551454798,0.0
806132,2,20,1551454798,1007.7
806132,2,8,1551454798,1.16;85.0
806132,2,19,1551454798,32.69
806132,2,15,1551454798,37.300003;100.0
806132,2,26,1551454798,13.333334
806132,2,10,1551454798,1.0;56.0
806132,2,119,1551454798,31.25
806131,2,71,1551454797,0.0
806131,2,13,1551454797,21.86422;100.0
806131,2,6,1551454797,65.0;85.0
806131,2,66,1551454797,1.5686275
806131,2,12,1551454797,18.0;93.0
806131,2,9,1551454797,19.607843
806131,2,25,1551454797,45.09804
806131,2,70,1551454797,1.54;85.0
806131,2,23,1551454797,0.0
806131,2,11,1551454797,58.0;54.0
806131,2,7,1551454797,60.0;0.0
806131,2,21,1551454797,21.0
806131,2,22,1551454797,43.92157
806131,2,118,1551454797,32.84
806131,2,24,1551454797,0.0
806131,2,20,1551454797,1007.5
806131,2,8,1551454797,0.7;85.0
806131,2,19,1551454797,32.69
806131,2,15,1551454797,37.300003;100.0
806131,2,26,1551454797,13.333334
806131,2,10,1551454797,1.0;56.0
806131,2,119,1551454797,31.25
806130,2,71,1551454796,0.0
806130,2,13,1551454796,21.86422;100.0
806130,2,6,1551454796,66.0;85.0
806130,2,66,1551454796,1.5686275
806130,2,12,1551454796,18.0;93.0
806130,2,9,1551454796,9.019608
806130,2,25,1551454796,45.09804
806130,2,70,1551454796,1.54;85.0
806130,2,23,1551454796,0.0
806130,2,11,1551454796,58.0;54.0
806130,2,7,1551454796,60.0;0.0
806130,2,21,1551454796,21.0
806130,2,22,1551454796,43.92157
806130,2,118,1551454796,32.91
806130,2,24,1551454796,0.0
806130,2,20,1551454796,1006.60004
806130,2,8,1551454796,0.64;85.0
806130,2,19,1551454796,32.69
806130,2,15,1551454796,37.300003;100.0
806130,2,26,1551454796,13.333334
806130,2,10,1551454796,1.0;57.0
806130,2,119,1551454796,31.13
806129,2,71,1551454795,0.0
806129,2,13,1551454795,21.86422;100.0
806129,2,6,1551454795,65.0;86.0
806129,2,66,1551454795,1.5686275
806129,2,12,1551454795,18.0;93.0
806129,2,9,1551454795,5.882353
806129,2,25,1551454795,45.09804
806129,2,70,1551454795,1.52;86.0
806129,2,23,1551454795,0.0
806129,2,11,1551454795,58.0;54.0
806129,2,7,1551454795,60.0;0.0
806129,2,21,1551454795,21.0
806129,2,22,1551454795,43.92157
806129,2,118,1551454795,32.88
806129,2,24,1551454795,0.0
806129,2,20,1551454795,1007.5
806129,2,8,1551454795,0.59999996;86.0
806129,2,19,1551454795,32.69
806129,2,15,1551454795,37.300003;100.0
806129,2,26,1551454795,13.333334
806129,2,10,1551454795,1.0;57.0
806129,2,119,1551454795,31.189999
806128,2,71,1551454794,0.0
806128,2,13,1551454794,21.86422;100.0
806128,2,6,1551454794,64.0;86.0
806128,2,66,1551454794,1.5686275
806128,2,12,1551454794,18.0;93.0
806128,2,9,1551454794,1.5686275
806128,2,25,1551454794,45.09804
806128,2,70,1551454794,1.52;86.0
806128,2,23,1551454794,0.0
806128,2,11,1551454794,58.0;54.0
806128,2,7,1551454794,60.0;0.0
806128,2,21,1551454794,21.0
806128,2,22,1551454794,43.92157
806128,2,118,1551454794,32.84
806128,2,24,1551454794,0.0
806128,2,20,1551454794,1007.4
806128,2,8,1551454794,0.58;86.0
806128,2,19,1551454794,32.66
806128,2,15,1551454794,37.300003;100.0
806128,2,26,1551454794,13.333334
806128,2,10,1551454794,1.0;57.0
806128,2,119,1551454794,31.13
806127,2,71,1551454793,0.0
806127,2,13,1551454793,21.86422;100.0
806127,2,6,1551454793,63.0;86.0
806127,2,66,1551454793,1.5686275
806127,2,12,1551454793,17.0;93.0
806127,2,9,1551454793,1.1764706
806127,2,25,1551454793,45.09804
806127,2,70,1551454793,1.54;86.0
806127,2,23,1551454793,0.0
806127,2,11,1551454793,57.0;54.0
806127,2,7,1551454793,60.0;0.0
806127,2,21,1551454793,21.0
806127,2,22,1551454793,43.92157
806127,2,118,1551454793,32.75
806127,2,24,1551454793,0.0
806127,2,20,1551454793,1007.3
806127,2,8,1551454793,0.58;86.0
806127,2,19,1551454793,32.66
806127,2,15,1551454793,37.300003;100.0
806127,2,26,1551454793,13.333334
806127,2,10,1551454793,1.0;57.0
806127,2,119,1551454793,31.13
806126,2,71,1551454792,0.0
806126,2,13,1551454792,21.86422;100.0
806126,2,6,1551454792,63.0;85.0
806126,2,66,1551454792,1.5686275
806126,2,12,1551454792,17.0;93.0
806126,2,9,1551454792,1.9607843
806126,2,25,1551454792,45.09804
806126,2,70,1551454792,1.5999999;85.0
806126,2,23,1551454792,0.0
806126,2,11,1551454792,57.0;54.0
806126,2,7,1551454792,60.0;0.0
806126,2,21,1551454792,21.0
806126,2,22,1551454792,43.92157
806126,2,118,1551454792,32.75
806126,2,24,1551454792,0.0
806126,2,20,1551454792,1008.0
806126,2,8,1551454792,0.56;85.0
806126,2,19,1551454792,32.66
806126,2,15,1551454792,37.300003;100.0
806126,2,26,1551454792,13.333334
806126,2,10,1551454792,1.0;57.0
806126,2,119,1551454792,31.31
806125,2,71,1551454791,0.0
806125,2,13,1551454791,21.86422;100.0
806125,2,6,1551454791,62.0;89.0
806125,2,66,1551454791,1.5686275
806125,2,12,1551454791,17.0;96.0
806125,2,9,1551454791,1.5686275
806125,2,25,1551454791,45.09804
806125,2,70,1551454791,1.62;89.0
806125,2,23,1551454791,0.0
806125,2,11,1551454791,57.0;54.0
806125,2,7,1551454791,60.0;0.0
806125,2,21,1551454791,21.0
806125,2,22,1551454791,43.92157
806125,2,118,1551454791,32.75
806125,2,24,1551454791,0.0
806125,2,20,1551454791,1007.5
806125,2,8,1551454791,0.56;89.0
806125,2,19,1551454791,32.66
806125,2,15,1551454791,37.300003;100.0
806125,2,26,1551454791,13.333334
806125,2,10,1551454791,1.0;57.0
806125,2,119,1551454791,31.189999
806124,2,71,1551454790,0.0
806124,2,13,1551454790,21.86422;100.0
806124,2,6,1551454790,59.0;89.0
806124,2,66,1551454790,1.5686275
806124,2,12,1551454790,17.0;96.0
806124,2,9,1551454790,1.5686275
806124,2,25,1551454790,45.09804
806124,2,70,1551454790,1.64;89.0
806124,2,23,1551454790,0.0
806124,2,11,1551454790,57.0;54.0
806124,2,7,1551454790,60.0;0.0
806124,2,21,1551454790,21.0
806124,2,22,1551454790,43.92157
806124,2,118,1551454790,32.809998
806124,2,24,1551454790,0.0
806124,2,20,1551454790,1007.4
806124,2,8,1551454790,0.53999996;89.0
806124,2,19,1551454790,32.66
806124,2,15,1551454790,37.300003;100.0
806124,2,26,1551454790,13.333334
806124,2,10,1551454790,1.0;57.0
806124,2,119,1551454790,31.13
806123,2,71,1551454789,0.0
806123,2,13,1551454789,21.86422;100.0
806123,2,6,1551454789,60.0;89.0
806123,2,66,1551454789,1.5686275
806123,2,12,1551454789,17.0;96.0
806123,2,9,1551454789,1.1764706
806123,2,25,1551454789,45.09804
806123,2,70,1551454789,1.68;89.0
806123,2,23,1551454789,0.0
806123,2,11,1551454789,57.0;54.0
806123,2,7,1551454789,60.0;0.0
806123,2,21,1551454789,21.0
806123,2,22,1551454789,43.92157
806123,2,118,1551454789,32.78
806123,2,24,1551454789,0.0
806123,2,20,1551454789,1007.60004
806123,2,8,1551454789,0.53999996;89.0
806123,2,19,1551454789,32.66
806123,2,15,1551454789,37.300003;100.0
806123,2,26,1551454789,13.333334
806123,2,10,1551454789,1.0;57.0
806123,2,119,1551454789,31.189999
806122,2,71,1551454788,0.0
806122,2,13,1551454788,21.86422;100.0
806122,2,6,1551454788,59.0;89.0
806122,2,66,1551454788,1.5686275
806122,2,12,1551454788,17.0;96.0
806122,2,9,1551454788,1.9607843
806122,2,25,1551454788,45.09804
806122,2,70,1551454788,1.6999999;89.0
806122,2,23,1551454788,0.0
806122,2,11,1551454788,57.0;54.0
806122,2,7,1551454788,60.0;0.0
806122,2,21,1551454788,21.0
806122,2,22,1551454788,43.92157
806122,2,118,1551454788,32.78
806122,2,24,1551454788,0.0
806122,2,20,1551454788,1007.7
806122,2,8,1551454788,0.52;89.0
806122,2,19,1551454788,32.66
806122,2,15,1551454788,37.300003;100.0
806122,2,26,1551454788,13.333334
806122,2,10,1551454788,1.0;57.0
806122,2,119,1551454788,31.25
806121,2,71,1551454787,0.0
806121,2,13,1551454787,21.86422;100.0
806121,2,6,1551454787,59.0;89.0
806121,2,66,1551454787,1.5686275
806121,2,12,1551454787,17.0;96.0
806121,2,9,1551454787,1.1764706
806121,2,25,1551454787,45.09804
806121,2,70,1551454787,1.74;89.0
806121,2,23,1551454787,0.0
806121,2,11,1551454787,57.0;54.0
806121,2,7,1551454787,60.0;0.0
806121,2,21,1551454787,21.0
806121,2,22,1551454787,43.92157
806121,2,118,1551454787,32.84
806121,2,24,1551454787,0.0
806121,2,20,1551454787,1007.5
806121,2,8,1551454787,0.52;89.0
806121,2,19,1551454787,32.66
806121,2,15,1551454787,37.300003;100.0
806121,2,26,1551454787,13.333334
806121,2,10,1551454787,1.0;57.0
806121,2,119,1551454787,31.189999
806120,2,71,1551454786,0.0
806120,2,13,1551454786,21.86422;100.0
806120,2,6,1551454786,60.0;89.0
806120,2,66,1551454786,1.5686275
806120,2,12,1551454786,17.0;96.0
806120,2,9,1551454786,1.9607843
806120,2,25,1551454786,45.09804
806120,2,70,1551454786,1.8;89.0
806120,2,23,1551454786,0.0
806120,2,11,1551454786,57.0;54.0
806120,2,7,1551454786,60.0;0.0
806120,2,21,1551454786,21.0
806120,2,22,1551454786,43.92157
806120,2,118,1551454786,32.88
806120,2,24,1551454786,0.0
806120,2,20,1551454786,1007.7
806120,2,8,1551454786,0.52;89.0
806120,2,19,1551454786,32.66
806120,2,15,1551454786,37.300003;100.0
806120,2,26,1551454786,13.333334
806120,2,10,1551454786,1.0;57.0
806120,2,119,1551454786,31.25
806119,2,71,1551454785,0.0
806119,2,13,1551454785,21.86422;100.0
806119,2,6,1551454785,61.0;89.0
806119,2,66,1551454785,1.5686275
806119,2,12,1551454785,17.0;96.0
806119,2,9,1551454785,1.5686275
806119,2,25,1551454785,45.09804
806119,2,70,1551454785,1.8199999;89.0
806119,2,23,1551454785,0.0
806119,2,11,1551454785,57.0;54.0
